original_column,nr_of_occurrences,demo_values,llm description (sap gpt4turbo ([LLM Outputs.xlsx]llm sap cleaned gpt4turbo)),Informative Value,Link to data typ,Formula used for first draft
Short Text (TXZ01),3,"CCM Product 21,Тестирование прослеживаемости,Пример Материала партии,Atul's EWM M1,$$POAC_FERT,Lean Service,gen art, BLU, S, 30,Test SPED Scenario_INTER c, BLUE, Medium,Filter Pleats",Contains a brief description or name of the material or service being purchased.,direct,Ambiguous,not found
Text (SGTXT),1,"Reference Segment Text,Reference Segment Text,Reference Segment Text","Provides additional information about the transaction, such as goods or services descriptions, which can be used for clarification or reporting purposes",direct,Ambiguous,
Description (MAKTX),1,"JP Leading Product COJ010,leading product for test,Tie","Textual description of materials or products, giving details such as name, specifications, and size.",direct,Ambiguous,
Conf. error w. GM (COGI_ERROR),1,"X,X,X",Records errors in goods movement confirmation which can cause delays and additional resource consumption,indirect,Ambiguous,
Value in EUR (MV_MONVALUE_CONVERTED),9,"7500.0,517.5,805.7,892269.7865925,79067.78998,8673.85,None,None,None,200,10,100,10000.0,10260.98,7000.0,400.0,600.0,1190.0,None,None,None,0,0,0,470.0,65.0,-2.55","The monetary value of the transaction or material converted into euros, which could be values like 100, 500, etc.",direct,"Amounts, Values & Units",
Net Value (NETWR),4,"24871.99,9062624.4,1050.0,50.0,7000.0,1112.0,0.0,0.0,0.0,330.0,-1.81,1.0","Represents the monetary value of transactions, in the local currency like '5000.00' for the net price.",direct,"Amounts, Values & Units",
Safety Stock (EISBE),4,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.212,5.0,9.967",Indicates the minimum quantity of stock to be maintained for a material to prevent stockouts,direct,"Amounts, Values & Units",
Currency (WAERS),3,"GBP,RUB,USD,EUR,USD,EUR,EUR,USD,EUR","Represents the currency used in the financial transactions, like USD or EUR.",direct,"Amounts, Values & Units",
Order Unit (MEINS),3,"BU,EA,ST,STD,EA,KG,EA,EA,EA","The unit of measure for the items ordered, like KG for kilograms, L for liters.",direct,"Amounts, Values & Units",
Backlog purch. order (BL_PURCH_ORD),2,"0,39,36,7,56,32","Indicates the backlog purchase orders, values could represent the number of orders pending beyond their expected delivery date.",direct,"Amounts, Values & Units",
Backlog purch. req. (BL_PURCH_REQ),2,"6,9,8,7,1,158","The quantity of purchase requisitions that are backlogged,  this is typically a numerical value",direct,"Amounts, Values & Units",
Base Unit (MEINS),2,"None,None,None,ST,TO,KG","Stores the base unit of measure for materials, such as 'KG' for kilograms or 'L' for liters, which is used across transactions.",direct,"Amounts, Values & Units",
BL manuf. orders (BL_MANUF_ORDERS),2,"0,99,99,14,0,3",Number of batch level manufacturing orders,direct,"Amounts, Values & Units",
Delivery Qty (LFIMG),2,"2.0,10.0,1.0,10.0,2.0,900.0","This column stores the quantity of goods that have been delivered,  values are typically numerical",direct,"Amounts, Values & Units",
Doc. Currency (WAERK),2,"EUR,EUR,EUR,INR,EUR,CHF","Shows the document currency for transactions, such as 'USD' or 'EUR'.",direct,"Amounts, Values & Units",
Goods Receipt Qty. (GR_AMOUNT),2,"2.0,30.0,3.0,0.0,150.0,1000.0","Quantity of goods received, typically measured in units or kilograms",direct,"Amounts, Values & Units",
Invoice Qty. (IV_AMOUNT),2,"1.0,90.0,5.0,150.0,0.0,1000.0","Quantity of items invoiced, usually expressed in units or pieces",direct,"Amounts, Values & Units",
Invoice Value (IR_VALUE),2,"1450.0,1200007.5,1393.2,0.0,1500.0,10000.0","Total monetary value of the invoice, expressed in currency units",direct,"Amounts, Values & Units",
Net Price (NETPR),2,"10.0,122.96,139.32,10.0,556.0,556.0","The price after deducting any discounts or rebates, represented in the document’s currency.",direct,"Amounts, Values & Units",
Open manuf. orders (OPEN_MANUF_ORDERS),2,"2,0,3,0,1,1","Number of manufacturing orders that are currently open and not completed,  data is usually a numerical count",direct,"Amounts, Values & Units",
Open purch. orders (OPEN_PURCH_ORD),2,"0,1,2,0,2,16","Contains the number of currently open purchase orders, which indicates pending transactions.",direct,"Amounts, Values & Units",
PO Quantity (MENGE),2,"1000.0,150.0,200.0,2.0,700.0,20.0",Quantity of the material ordered in the purchase order.,direct,"Amounts, Values & Units",
Price Unit (PEINH),2,"1,1,1,1,1,1","The quantity of the material for which the price applies, used as a basis for pricing in purchasing documents.",direct,"Amounts, Values & Units",
